from,to,weigh,year
RoMo,SaRy,3,2017
RoMo,ErUm,2,2017
ErUm,SaRy,2,2017
SaRy,ErEy,2,2017
GeRy,MaWa,3,2017
FrOb,BaOb,3,2017
MaWa,NYT,2,2017
NiNe,FrOb,2,2017
NiNe,BaOb,2,2017
NiNe,KeHa,2,2017
GeRy,FrOb,2,2017
GeRy,BaOb,2,2017
KeHa,GeRy,2,2017
MaWa,FrOb,2,2017
MaWa,BaOb,2,2017
MaWa,KeHa,2,2017
FrOb,KeHa,2,2017
BaOb,KeHa,2,2017
ChCh,NYT,3,2017
DaBe,ChCh,3,2017
DaBe,NYT,3,2017
NiNe,JiMo,3,2017
ErUm,NYT,2,2017
ErUm,DaFa,2,2017
DaBe,SaRy,1,2017
JiMo,DaFa,1,2017
ChCh,NiNe,1,2017
ChCh,MaWa,1,2017
ChCh,DaFa,1,2017
SLT,EBT,1,2017
ChCh,ErUm,1,2017
DaFa,KeHa,1,2017
NiNe,DaFa,1,2017
ErUm,MaWa,2,2017
GeRy,NYT,2,2017
ErEy,NiNe,1,2017
PeNo,DaFa,1,2017
SaRy,NiNe,1,2017
ErUm,NiNe,1,2017
DaFa,ErEy,1,2017
DaBe,ErEy,1,2017
GeRy,NiNe,1,2017
NiNe,MaWa,1,2017
ArCu,DaFa,1,2017
SaRy,DaFa,1,2017
DaFa,MaWa,1,2017
DaFa,DaBe,1,2017
DaFa,BaOb,1,2017
DaFa,FrOb,1,2017
DaFa,SLT,2,2017
NiNe,NYT,1,2017
FrOb,NYT,2,2017
BaOb,NYT,2,2017
JiMo,NYT,2,2017
SaRy,NYT,1,2017
DaFa,NYT,2,2017
PeNo,NYT,2,2017
KeHa,NYT,1,2017
EBT,NYT,2,2017
SLT,NYT,2,2017
JaWa,NYT,2,2017
HiAl,NYT,2,2017
